# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0301.fits 59311.34942980651851851851 59311.34950437192296296296
FRB20201124A_tracking-M01_0302.fits 59311.34950437192296296296 59311.34957893732740740740
FRB20201124A_tracking-M01_0303.fits 59311.34957893732740740740 59311.34965350273185185185
FRB20201124A_tracking-M01_0304.fits 59311.34965350273185185185 59311.34972806813629629629
FRB20201124A_tracking-M01_0305.fits 59311.34972806813629629629 59311.34980263354074074074
FRB20201124A_tracking-M01_0306.fits 59311.34980263354074074074 59311.34987719894518518518
FRB20201124A_tracking-M01_0307.fits 59311.34987719894518518518 59311.34995176434962962962
FRB20201124A_tracking-M01_0308.fits 59311.34995176434962962962 59311.35002632975407407407
FRB20201124A_tracking-M01_0309.fits 59311.35002632975407407407 59311.35010089515851851851
FRB20201124A_tracking-M01_0310.fits 59311.35010089515851851851 59311.35017546056296296296
FRB20201124A_tracking-M01_0311.fits 59311.35017546056296296296 59311.35025002596740740740
FRB20201124A_tracking-M01_0312.fits 59311.35025002596740740740 59311.35032459137185185185
FRB20201124A_tracking-M01_0313.fits 59311.35032459137185185185 59311.35039915677629629629
FRB20201124A_tracking-M01_0314.fits 59311.35039915677629629629 59311.35047372218074074074
FRB20201124A_tracking-M01_0315.fits 59311.35047372218074074074 59311.35054828758518518518
FRB20201124A_tracking-M01_0316.fits 59311.35054828758518518518 59311.35062285298962962962
